1,1574,1574,c41c42,130,3132,30
2,1518,1518,c22c32,130,2232,30
3,1776,1776,c42c5,130,1323,30
4,1877,1877,c31c32,130,3323,30
5,2286,2286,c21c22,130,3132,30
6,3599,3599,c22c32,130,3323,30
7,1176,1176,c42c5,130,3323,30
8,2523,2523,c42c5,130,3323,30
9,1623,1623,c32c42,130,1112,30
10,3540,3540,c31c32,130,3323,30
11,998,998,c32c42,130,3233,30
12,110,110,c42c5,130,2232,30
13,3030,3030,c43c42,130,2131,30
14,1837,1837,c43c42,130,1112,30
15,1231,1231,c41c42,130,1323,30
16,2103,2103,c41c42,130,1213,30
17,2952,2952,c22c32,130,3323,30
18,1212,1212,c32c31,130,1112,30
19,452,452,c32c42,130,3323,30
20,2031,2031,c31c32,130,3132,30
