1,263,263,c5c42,130,3323,30
2,2710,2710,c1c22,130,3233,30
3,2242,2242,c43c42,130,1323,30
4,630,630,c31c32,130,2333,30
5,2663,2663,c32c31,130,2131,30
6,2019,2019,c5c42,130,3323,30
7,189,189,c32c31,130,1323,30
8,1206,1206,c1c22,130,2232,30
9,1953,1953,c32c31,130,3323,30
10,145,145,c31c32,130,1323,30
11,1897,1897,c21c22,130,1213,30
12,714,714,c5c42,130,3132,30
13,2704,2704,c41c42,130,3233,30
14,2903,2903,c41c42,130,3132,30
15,3523,3523,c21c22,130,3323,30
16,2635,2635,c23c22,130,3132,30
17,1824,1824,c32c42,130,2232,30
18,3054,3054,c5c42,130,2232,30
19,3299,3299,c21c22,130,3233,30
20,3374,3374,c32c42,130,2333,30
