1,1574,1574,c41c42,130,3132,30
2,1518,1518,c22c32,130,2232,30
3,1776,1776,c42c5,130,1323,30
4,1877,1877,c31c32,130,3323,30
5,2286,2286,c21c22,130,3132,30
6,3599,3599,c22c32,130,3323,30
7,1176,1176,c42c5,130,3323,30
8,2523,2523,c42c5,130,3323,30
9,1623,1623,c32c42,130,1112,30
10,3540,3540,c31c32,130,3323,30
11,998,998,c32c42,130,3233,30
12,110,110,c42c5,130,2232,30
13,3030,3030,c43c42,130,2131,30
14,1837,1837,c43c42,130,1112,30
15,1231,1231,c41c42,130,1323,30
16,2103,2103,c41c42,130,1213,30
17,2952,2952,c22c32,130,3323,30
18,1212,1212,c32c31,130,1112,30
19,452,452,c32c42,130,3323,30
20,2031,2031,c31c32,130,3132,30
21,3530,3530,c42c5,130,2232,30
22,1662,1662,c31c32,130,2333,30
23,2132,2132,c31c32,130,2131,30
24,732,732,c21c22,130,1213,30
25,1775,1775,c31c32,130,2333,30
26,3217,3217,c1c22,130,3132,30
27,3294,3294,c5c42,130,3233,30
28,1469,1469,c5c42,130,2232,30
29,2982,2982,c43c42,130,1323,30
30,2183,2183,c41c42,130,3323,30
31,1682,1682,c5c42,130,2333,30
32,3361,3361,c43c42,130,3323,30
33,2266,2266,c42c5,130,1112,30
34,3103,3103,c32c42,130,2333,30
35,481,481,c22c32,130,3132,30
36,1257,1257,c22c32,130,3233,30
37,587,587,c42c5,130,1112,30
38,2126,2126,c43c42,130,1112,30
39,2510,2510,c5c42,130,2232,30
40,2243,2243,c1c22,130,2333,30
41,1392,1392,c31c32,130,2131,30
42,137,137,c5c42,130,1112,30
43,506,506,c5c42,130,1213,30
44,3434,3434,c22c32,130,3233,30
45,425,425,c1c22,130,2131,30
46,2389,2389,c22c32,130,1213,30
47,1873,1873,c21c22,130,1213,30
48,3618,3618,c1c22,130,1112,30
49,2694,2694,c22c32,130,2131,30
50,670,670,c41c42,130,3323,30
51,269,269,c43c42,130,3323,30
52,1292,1292,c43c42,130,3233,30
53,1652,1652,c22c32,130,2333,30
54,1536,1536,c23c22,130,2232,30
55,1181,1181,c31c32,130,2232,30
56,963,963,c21c22,130,3233,30
57,2730,2730,c31c32,130,1112,30
58,1071,1071,c21c22,130,1112,30
59,1328,1328,c22c32,130,3323,30
60,3469,3469,c21c22,130,2131,30
