1,263,263,c5c42,130,3323,30
2,2710,2710,c1c22,130,3233,30
3,2242,2242,c43c42,130,1323,30
4,630,630,c31c32,130,2333,30
5,2663,2663,c32c31,130,2131,30
6,2019,2019,c5c42,130,3323,30
7,189,189,c32c31,130,1323,30
8,1206,1206,c1c22,130,2232,30
9,1953,1953,c32c31,130,3323,30
10,145,145,c31c32,130,1323,30
11,1897,1897,c21c22,130,1213,30
12,714,714,c5c42,130,3132,30
13,2704,2704,c41c42,130,3233,30
14,2903,2903,c41c42,130,3132,30
15,3523,3523,c21c22,130,3323,30
16,2635,2635,c23c22,130,3132,30
17,1824,1824,c32c42,130,2232,30
18,3054,3054,c5c42,130,2232,30
19,3299,3299,c21c22,130,3233,30
20,3374,3374,c32c42,130,2333,30
21,858,858,c43c42,130,2232,30
22,658,658,c21c22,130,3132,30
23,3341,3341,c41c42,130,1323,30
24,2603,2603,c21c22,130,3323,30
25,2405,2405,c32c42,130,2232,30
26,808,808,c31c32,130,1323,30
27,2304,2304,c32c42,130,3323,30
28,2674,2674,c1c22,130,3233,30
29,2741,2741,c41c42,130,1213,30
30,1043,1043,c1c22,130,2333,30
31,442,442,c22c32,130,3233,30
32,941,941,c32c42,130,3233,30
33,1582,1582,c22c32,130,3233,30
34,1364,1364,c43c42,130,1112,30
35,358,358,c23c22,130,3132,30
36,2686,2686,c5c42,130,1112,30
37,2988,2988,c1c22,130,1323,30
38,2550,2550,c23c22,130,1213,30
39,3624,3624,c32c31,130,1112,30
40,1299,1299,c23c22,130,1112,30
