1,3058,3058,3233,130,3132,30
2,2098,2098,2232,130,3233,30
3,1019,1019,2333,130,3323,30
4,1966,1966,2131,130,1323,30
5,1310,1310,2333,130,2232,30
6,1712,1712,3233,130,1323,30
7,3067,3067,2131,130,2232,30
8,2307,2307,1112,130,3323,30
9,809,809,2131,130,1112,30
10,1761,1761,1213,130,1323,30
11,2065,2065,3323,130,1323,30
12,2964,2964,2232,130,3132,30
13,2821,2821,3323,130,3233,30
14,1843,1843,2333,130,1213,30
15,1733,1733,3323,130,1323,30
16,568,568,3233,130,2131,30
17,3306,3306,2232,130,1112,30
18,2331,2331,2232,130,3132,30
19,500,500,1213,130,2333,30
20,1483,1483,3233,130,2131,30
