1,973,973,1112,130,1323,30
2,694,694,1323,130,2333,30
3,1138,1138,1112,130,3323,30
4,352,352,2232,130,2131,30
5,2744,2744,2333,130,2232,30
6,2657,2657,1323,130,1213,30
7,1163,1163,1323,130,2232,30
8,1224,1224,2232,130,1323,30
9,2961,2961,3132,130,3233,30
10,3546,3546,1213,130,2333,30
11,1221,1221,1323,130,2232,30
12,3594,3594,3132,130,1112,30
13,182,182,3132,130,1323,30
14,2394,2394,1112,130,3323,30
15,337,337,3132,130,1323,30
16,575,575,2333,130,1213,30
17,3519,3519,2333,130,3233,30
18,3173,3173,3233,130,1323,30
19,1952,1952,3233,130,1323,30
20,573,573,3323,130,3233,30
21,3147,3147,2131,130,1213,30
22,1065,1065,1213,130,2333,30
23,191,191,1112,130,2232,30
24,1068,1068,1213,130,3233,30
25,1966,1966,2333,130,3233,30
26,1482,1482,2333,130,3233,30
27,2841,2841,2333,130,1213,30
28,2846,2846,3132,130,1112,30
29,1285,1285,3323,130,2131,30
30,2295,2295,2131,130,3323,30
31,3486,3486,1213,130,1112,30
32,1788,1788,1213,130,2131,30
33,82,82,3132,130,3323,30
34,3615,3615,3132,130,2333,30
35,2465,2465,1213,130,1112,30
36,797,797,3323,130,1112,30
37,974,974,3233,130,3132,30
38,1992,1992,3233,130,1323,30
39,485,485,1112,130,3132,30
40,2528,2528,3323,130,2131,30
41,929,929,2232,130,3132,30
42,2916,2916,1213,130,1112,30
43,1247,1247,1112,130,2232,30
44,399,399,1323,130,3323,30
45,907,907,2333,130,1213,30
46,1565,1565,1112,130,3323,30
47,1938,1938,2333,130,3233,30
48,3373,3373,2232,130,2131,30
49,2117,2117,1213,130,3132,30
50,1634,1634,2232,130,1213,30
51,1348,1348,3323,130,2232,30
52,1606,1606,1112,130,1213,30
53,774,774,2131,130,1323,30
54,907,907,3132,130,2232,30
55,695,695,3233,130,3132,30
56,2218,2218,1213,130,2232,30
57,3456,3456,1213,130,2131,30
58,633,633,3233,130,2232,30
59,3601,3601,1213,130,2232,30
60,2394,2394,3233,130,3323,30
