1,3254,3254,3323,130,2131,30
2,2766,2766,2333,130,1213,30
3,1969,1969,2131,130,3132,30
4,3634,3634,1112,130,3233,30
5,618,618,3323,130,2232,30
6,2383,2383,1323,130,3323,30
7,745,745,1323,130,2333,30
8,667,667,3233,130,1112,30
9,2273,2273,3233,130,3132,30
10,1714,1714,2131,130,3132,30
11,2256,2256,2232,130,1323,30
12,981,981,1213,130,3132,30
13,3306,3306,2131,130,1323,30
14,594,594,3132,130,1112,30
15,3449,3449,1213,130,3132,30
16,417,417,3132,130,3233,30
17,400,400,3233,130,3132,30
18,2675,2675,3132,130,2232,30
19,3158,3158,1112,130,2232,30
20,2071,2071,3132,130,1112,30
21,2623,2623,1213,130,1112,30
22,1637,1637,2232,130,3132,30
23,1521,1521,1323,130,1213,30
24,319,319,3323,130,3132,30
25,2794,2794,1112,130,3132,30
26,2966,2966,2333,130,2131,30
27,2669,2669,3132,130,2131,30
28,3544,3544,2131,130,1112,30
29,610,610,1112,130,2232,30
30,648,648,3233,130,1213,30
31,752,752,2232,130,2333,30
32,954,954,2131,130,2232,30
33,1667,1667,1112,130,1213,30
34,907,907,1323,130,2232,30
35,1222,1222,2131,130,2333,30
36,3394,3394,1323,130,2131,30
37,2576,2576,1213,130,2131,30
38,3095,3095,1323,130,1112,30
39,756,756,3323,130,2232,30
40,2378,2378,1213,130,1112,30
