1,1901,1901,3233,428,3132,283
2,2160,2160,2131,323,3233,479
3,2286,2286,3323,303,2232,730
4,3308,3308,1323,935,3323,780
5,1760,1760,1323,859,3132,666
6,3540,3540,1112,600,2131,872
7,2035,2035,2232,284,3233,775
8,2466,2466,1112,409,3132,793
9,1231,1231,1112,831,2232,269
10,3544,3544,3233,561,1213,264
11,1889,1889,3233,122,2232,338
12,2031,2031,3323,546,1112,686
13,2176,2176,3233,918,2232,593
14,1105,1105,2232,396,2333,568
15,383,383,1213,641,2333,479
16,3294,3294,3132,881,3233,809
17,1052,1052,3323,402,2232,685
18,2147,2147,3233,581,3323,905
19,2916,2916,2232,947,2333,876
20,3103,3103,1112,488,2333,617
